feature,ks_statistic,p_value,drift_detected,train_mean,new_mean,train_std,new_std
trestbps,0.4087,0.0,True,132.39,150.12,18.07,34.5
cp,0.3357,0.0,True,0.91,1.72,1.02,1.07
fbs,0.4019,0.0,True,0.16,0.56,0.37,0.5
chol,0.5415,0.0,True,248.3,339.27,51.33,125.98
restecg,0.3272,0.0,True,0.54,0.95,0.52,0.86
thalach,0.2846,0.0,True,149.06,139.46,22.84,39.49
slope,0.3145,0.0,True,1.36,0.94,0.64,0.86
oldpeak,0.5248,0.0,True,1.1,3.21,1.19,1.81
thal,0.4502,0.0,True,2.33,1.55,0.6,1.09
ca,0.2506,0.0002,True,0.72,1.38,0.99,1.19
exang,0.2396,0.0005,True,0.35,0.59,0.48,0.49
age,0.2002,0.006,True,54.53,52.86,9.0,14.46
gender,0.1838,0.015,True,0.32,0.5,0.47,0.5
